id_station_itinerance,id_pdc_itinerance,puissance_nominale
FRVIAP103109,FRVIAE10001169611,300.0
FRESEPS42316AA,FRESEE42316AA11,22.0
FRVIAP103109,FRVIAE10001169613,300.0
FRVIAP103109,FRVIAE10001169591,300.0
FRV75P900701,FRV75E9007011,22.0
FRIOYP13530988,FRIOYE407953,50.0
FRLDLPLFR3935EVCP,FRLDLE00000267,22.0
FRPD1PMBCHLS,FRPD1EMBCHLSUFC0013,50.0
FRS50P5021850063312147292,FRS50E502180073,30.0
FRELCP12954479,FRELCEJHU4,50.0
FRBMPP174476P50099934578998,FRBMPE2362,150.0
FRIOYP13531177,FRIOYE454513,350.0
FRELCP12953922,FRELCE5HMF,300.0
FRPD1PIBSGSA,FRPD1EIBSGSAKPS200015,200.0
FRALLPGO800526,FRALLEGO8005261,150.0
FRALLPGO900191,FRALLEGO9001912,300.0
FRZUNP5609650024528147024,FRZUNEFR5601ER05,400.0
FRSE1PSE50SLAC,FRSE1ESE50SLAC1,22.0
FRALLPGO900213,FRALLEGO9002132,300.0
FRALLPGO800410,FRALLEGO8004101,300.0
FRHXWPMETAMP,FRHXWEMETAMP0031,7.0
FRBMPP290386P500502896562180,FRBMPE7223,25.0
FRPD1PFONCHT,FRPD1EFONCHTXBBC0022,50.0
FRR3MP1096144,FRR3ME5572838,180.0
FRPD1PIMCORC,FRPD1EIMCORCKP0011,100.0
FRPD1PMATCHA02,FRPD1EMATCHAKPC20014,100.0
FRPD1PMATPON,FRPD1EMATPONKP0013,100.0
FRPD1PIBSISR,FRPD1EIBSISRKPC200014,100.0
FRPD1PKRDTNC,FRPD1EKRDTNCBBC200012,50.0
FRPD1PCORGRO,FRPD1ECORGROALFS22011,22.0
FRPD1PMATVXC,FRPD1EMATVXCALF0011,22.0
FRLDLPLFR4233EVCP,FRLDLE00004447,120.0
FRPD1PSYUHAB,FRPD1ESYUHABUFC100012,22.0
FRPD1PITMLRB,FRPD1EITMLRBUFC200012,22.0
FRIOYP13531091,FRIOYE473504,350.0
FRATLPFR01092,FRATLE102181,600.0
FRPD1PITMLBZ,FRPD1EITMLBZUFC200023,100.0
FRPD1PIBIMOU,FRPD1EIBIMOUKMP200016,160.0
FRPD1PCORMSY,FRPD1ECORMSYALFD22012,22.0
FRPD1PHF1SRG,FRPD1EHF1SRGKPC200013,160.0
FRPD1PSYUFQM,FRPD1ESYUFQMKPC500013,22.0
FRELCP12954031,FRELCEZ78B,150.0
FRPD1PCORMET,FRPD1ECORMETKPC200017,50.0
FRPD1PCORAUX,FRPD1ECORAUXKPC200011,100.0
FRPD1PCHABRI,FRPD1ECHABRIEKO0022,22.0
FRS50P5021850063312147292,FRS50E502180074,30.0
FRATLPFR00912,FRATLE105181,22.0
FRIENP0116091,FRIENE01160912,320.0
FRVIAP104113,FRVIAE12345703862,50.0
